20092480120	20
20092480125	80
20092480135	67
20092480124	24
20092480126	81
20092480133	65
20092480121	21
20092480139	38
20092480122	22
20092480127	82
20092480128	60
20092480132	64
20092480123	23
20092480136	35
20092480134	66
20092480137	36
20092480138	37
20092480130	62
20092480129	61
20092480149	53
20092480163	26
20092480156	25
20092480142	41
20092480140	39
20092480146	50
20092480160	29
20092480167	30
20092480141	40
20092480145	44
20092480147	51
20092480153	22
20092480159	28
20092480161	30
20092480168	31
20092480152	56
20092480155	24
20092480166	29
20092480144	43
20092480158	27
20092480148	52
20092480154	23
20092480162	25
20092480169	32
20092480143	42
20092480157	26
20092480151	55
20092480165	28
20092480131	63
20092480150	54
20092480164	27
